Model: YOLOv8m
Path: PCH2_C2_P5_V1_HB_2
Video: ../../../Gun_Action_Recognition_Dataset/Handgun/PCH2_C2_P5_V1_HB_2/video.mp4
Frame: 53, Class: Handgun, Confidence: 0.34
Frame: 54, Class: Handgun, Confidence: 0.50
Frame: 55, Class: Handgun, Confidence: 0.69
Frame: 56, Class: Handgun, Confidence: 0.75
Frame: 57, Class: Handgun, Confidence: 0.78
Frame: 58, Class: Handgun, Confidence: 0.78
Frame: 59, Class: Handgun, Confidence: 0.79
Frame: 60, Class: Handgun, Confidence: 0.79
Frame: 61, Class: Handgun, Confidence: 0.79
Frame: 62, Class: Handgun, Confidence: 0.80
Frame: 63, Class: Handgun, Confidence: 0.80
Frame: 64, Class: Handgun, Confidence: 0.80
Frame: 65, Class: Handgun, Confidence: 0.80
Frame: 66, Class: Handgun, Confidence: 0.81
Frame: 67, Class: Handgun, Confidence: 0.80
Frame: 68, Class: Handgun, Confidence: 0.78
Frame: 69, Class: Handgun, Confidence: 0.78
Frame: 70, Class: Handgun, Confidence: 0.80
Frame: 71, Class: Handgun, Confidence: 0.79
Frame: 72, Class: Handgun, Confidence: 0.80
Frame: 73, Class: Handgun, Confidence: 0.80
Frame: 74, Class: Handgun, Confidence: 0.82
Frame: 75, Class: Handgun, Confidence: 0.80
Frame: 76, Class: Handgun, Confidence: 0.81
Frame: 77, Class: Handgun, Confidence: 0.80
Frame: 78, Class: Handgun, Confidence: 0.80
Frame: 79, Class: Handgun, Confidence: 0.82
Frame: 80, Class: Handgun, Confidence: 0.80
Frame: 81, Class: Handgun, Confidence: 0.82
Frame: 82, Class: Handgun, Confidence: 0.82
Frame: 83, Class: Handgun, Confidence: 0.81
Frame: 84, Class: Handgun, Confidence: 0.79
Frame: 85, Class: Handgun, Confidence: 0.79
Frame: 86, Class: Handgun, Confidence: 0.80
Frame: 87, Class: Handgun, Confidence: 0.80
Frame: 88, Class: Handgun, Confidence: 0.79
Frame: 89, Class: Handgun, Confidence: 0.81
Frame: 90, Class: Handgun, Confidence: 0.82
