Model: YOLOv8m
Path: PAH2_C2_P5_V1_HB_3
Video: ../../../Gun_Action_Recognition_Dataset/Handgun/PAH2_C2_P5_V1_HB_3/video.mp4
Frame: 46, Class: Handgun, Confidence: 0.35
Frame: 47, Class: Handgun, Confidence: 0.62
Frame: 48, Class: Handgun, Confidence: 0.69
Frame: 49, Class: Handgun, Confidence: 0.75
Frame: 50, Class: Handgun, Confidence: 0.74
Frame: 51, Class: Handgun, Confidence: 0.74
Frame: 52, Class: Handgun, Confidence: 0.79
Frame: 53, Class: Handgun, Confidence: 0.82
Frame: 54, Class: Handgun, Confidence: 0.82
Frame: 55, Class: Handgun, Confidence: 0.81
Frame: 56, Class: Handgun, Confidence: 0.82
Frame: 57, Class: Handgun, Confidence: 0.82
Frame: 58, Class: Handgun, Confidence: 0.84
Frame: 59, Class: Handgun, Confidence: 0.83
Frame: 60, Class: Handgun, Confidence: 0.82
Frame: 61, Class: Handgun, Confidence: 0.84
Frame: 62, Class: Handgun, Confidence: 0.84
Frame: 63, Class: Handgun, Confidence: 0.83
Frame: 64, Class: Handgun, Confidence: 0.83
Frame: 65, Class: Handgun, Confidence: 0.85
Frame: 66, Class: Handgun, Confidence: 0.84
Frame: 67, Class: Handgun, Confidence: 0.83
Frame: 68, Class: Handgun, Confidence: 0.83
Frame: 69, Class: Handgun, Confidence: 0.85
Frame: 70, Class: Handgun, Confidence: 0.84
Frame: 71, Class: Handgun, Confidence: 0.84
Frame: 72, Class: Handgun, Confidence: 0.85
Frame: 73, Class: Handgun, Confidence: 0.85
Frame: 74, Class: Handgun, Confidence: 0.83
Frame: 75, Class: Handgun, Confidence: 0.82
Frame: 76, Class: Handgun, Confidence: 0.82
Frame: 77, Class: Handgun, Confidence: 0.83
Frame: 78, Class: Handgun, Confidence: 0.82
Frame: 79, Class: Handgun, Confidence: 0.81
Frame: 80, Class: Handgun, Confidence: 0.80
Frame: 81, Class: Handgun, Confidence: 0.81
Frame: 82, Class: Handgun, Confidence: 0.81
Frame: 83, Class: Handgun, Confidence: 0.81
Frame: 84, Class: Handgun, Confidence: 0.80
Frame: 85, Class: Handgun, Confidence: 0.81
Frame: 86, Class: Handgun, Confidence: 0.81
Frame: 87, Class: Handgun, Confidence: 0.80
Frame: 88, Class: Handgun, Confidence: 0.81
Frame: 89, Class: Handgun, Confidence: 0.83
Frame: 90, Class: Handgun, Confidence: 0.83
Frame: 91, Class: Handgun, Confidence: 0.83
Frame: 92, Class: Handgun, Confidence: 0.83
Frame: 93, Class: Handgun, Confidence: 0.84
Frame: 94, Class: Handgun, Confidence: 0.84
Frame: 95, Class: Handgun, Confidence: 0.84
Frame: 96, Class: Handgun, Confidence: 0.84
Frame: 97, Class: Handgun, Confidence: 0.83
Frame: 98, Class: Handgun, Confidence: 0.84
Frame: 99, Class: Handgun, Confidence: 0.83
Frame: 100, Class: Handgun, Confidence: 0.83
Frame: 101, Class: Handgun, Confidence: 0.81
Frame: 102, Class: Handgun, Confidence: 0.81
Frame: 103, Class: Handgun, Confidence: 0.80
Frame: 104, Class: Handgun, Confidence: 0.81
Frame: 105, Class: Handgun, Confidence: 0.82
Frame: 106, Class: Handgun, Confidence: 0.82
Frame: 107, Class: Handgun, Confidence: 0.82
Frame: 108, Class: Handgun, Confidence: 0.81
Frame: 109, Class: Handgun, Confidence: 0.81
Frame: 110, Class: Handgun, Confidence: 0.81
Frame: 111, Class: Handgun, Confidence: 0.81
Frame: 112, Class: Handgun, Confidence: 0.82
Frame: 113, Class: Handgun, Confidence: 0.82
Frame: 114, Class: Handgun, Confidence: 0.83
Frame: 115, Class: Handgun, Confidence: 0.82
Frame: 116, Class: Handgun, Confidence: 0.81
Frame: 117, Class: Handgun, Confidence: 0.81
Frame: 118, Class: Handgun, Confidence: 0.81
Frame: 119, Class: Handgun, Confidence: 0.81
Frame: 120, Class: Handgun, Confidence: 0.82
Frame: 121, Class: Handgun, Confidence: 0.82
Frame: 122, Class: Handgun, Confidence: 0.82
Frame: 123, Class: Handgun, Confidence: 0.82
Frame: 124, Class: Handgun, Confidence: 0.82
Frame: 125, Class: Handgun, Confidence: 0.81
Frame: 126, Class: Handgun, Confidence: 0.81
Frame: 127, Class: Handgun, Confidence: 0.81
Frame: 128, Class: Handgun, Confidence: 0.82
Frame: 129, Class: Handgun, Confidence: 0.81
Frame: 130, Class: Handgun, Confidence: 0.81
Frame: 131, Class: Handgun, Confidence: 0.82
Frame: 132, Class: Handgun, Confidence: 0.82
Frame: 133, Class: Handgun, Confidence: 0.82
Frame: 134, Class: Handgun, Confidence: 0.82
Frame: 135, Class: Handgun, Confidence: 0.83
Frame: 136, Class: Handgun, Confidence: 0.82
Frame: 137, Class: Handgun, Confidence: 0.82
Frame: 138, Class: Handgun, Confidence: 0.82
Frame: 139, Class: Handgun, Confidence: 0.84
Frame: 140, Class: Handgun, Confidence: 0.83
Frame: 141, Class: Handgun, Confidence: 0.80
Frame: 142, Class: Handgun, Confidence: 0.80
Frame: 143, Class: Handgun, Confidence: 0.81
Frame: 144, Class: Handgun, Confidence: 0.82
Frame: 145, Class: Handgun, Confidence: 0.82
Frame: 146, Class: Handgun, Confidence: 0.82
Frame: 147, Class: Handgun, Confidence: 0.83
Frame: 148, Class: Handgun, Confidence: 0.84
Frame: 149, Class: Handgun, Confidence: 0.82
Frame: 150, Class: Handgun, Confidence: 0.80
Frame: 151, Class: Handgun, Confidence: 0.81
Frame: 152, Class: Handgun, Confidence: 0.82
Frame: 153, Class: Handgun, Confidence: 0.82
Frame: 154, Class: Handgun, Confidence: 0.84
Frame: 155, Class: Handgun, Confidence: 0.85
Frame: 156, Class: Handgun, Confidence: 0.84
Frame: 157, Class: Handgun, Confidence: 0.80
Frame: 158, Class: Handgun, Confidence: 0.80
Frame: 159, Class: Handgun, Confidence: 0.81
Frame: 160, Class: Handgun, Confidence: 0.82
Frame: 161, Class: Handgun, Confidence: 0.82
Frame: 162, Class: Handgun, Confidence: 0.84
Frame: 163, Class: Handgun, Confidence: 0.85
Frame: 164, Class: Handgun, Confidence: 0.84
